Country,Code,Value_max,Value_min,Value_mean,Value_median,Value_std,Annual_Growth_Rate_mean,Annual_Growth_Rate_median,Annual_Growth_Rate_std,5_Year_Growth_Rate_mean,10_Year_Growth_Rate_mean
Northern Mariana Islands,MNP,68356.0,8736.0,37008.5625,44768.0,20166.824431397858,2.7499772305554893,2.21946683199008,4.801447333107563,17.031179457120047,42.7558659226505
Norway,NOR,5519594.0,3581239.0,4397847.46875,4274066.5,534672.1734616059,0.689393357578201,0.651155681430815,0.2756921396425978,3.4483395804114245,6.9485250196753885
OECD members,OED,1385723403.0,809580666.0,1118261805.09375,1123724993.5,171265978.05475977,0.8570865136565471,0.8019295626609635,0.2578183511158611,4.345985613046943,8.840829603260378
Oman,OMN,5049269.0,530485.0,2034738.1875,1894855.5,1345060.447235322,3.6743306414378973,2.8591185974844446,2.6736917525363175,20.454773036138526,47.63637516994727
Other small states,OSS,14411921.0,5458853.0,9587460.15625,9676043.5,2683663.637111539,1.55385256829494,1.6693430396460096,0.43955661485940195,8.03427929318702,16.834568645414873
Pacific island small states,PSS,2689224.0,912120.0,1792425.40625,1814463.0,524372.257785961,1.7325949052881704,1.4827249693806888,0.5638383012525697,8.88665908491439,18.354131977128443
Pakistan,PAK,247504495.0,45709310.0,130725733.6875,121803627.0,63827779.32336985,2.7194951574000092,2.8112971364514294,0.6577651930421343,14.598403503663839,32.048221758812325
Palau,PLW,19820.0,9328.0,15250.453125,15801.5,3288.864506756032,1.0353814109712325,1.067557656262741,1.5015914339350236,5.410388816626294,11.29338245535303
Panama,PAN,4458759.0,1126005.0,2631888.984375,2534800.5,1001472.4184892053,2.2096343584052978,2.1158450163758724,0.49210803509290874,11.584267463612814,24.471925509526727
Papua New Guinea,PNG,10389635.0,1995110.0,5024206.921875,4094268.0,2582123.0008479906,2.6553812679659883,2.398968175184635,0.5705240792289926,14.220335083411186,31.055943621219164
Paraguay,PRY,6844146.0,1883514.0,4215777.890625,4198982.0,1563051.693134615,2.071094917469685,2.3477228799400063,0.6364279605623305,10.932092459946542,23.368195486880744
Peru,PER,33845617.0,10174127.0,22192293.765625,22715057.5,7243863.886467698,1.9289562603844392,2.0573280065291577,0.7561180992823395,10.053102943589924,20.99237921546728
Philippines,PHL,114891199.0,27891897.0,67997814.796875,65154187.0,27445955.97814411,2.274348219965019,2.382781721134686,0.6191447130705463,12.019731587162028,25.707778982064255
